['S00110072018', 'L01303012019', 'D01303012019', 'K02414042020', 'M02319032020', 'P03612022020', '10072018']
['S01518062019', 'L02623042020', 'D02906072020', 'K04005052021', 'M03920042021', 'P04720042021', '18062019']
['S01624062019', 'L02730052020', 'D03008082020', 'K04102072021', 'M04001052021', 'P04801052021', '24062019']
['S01726072019', 'L02806072020', 'D03127092020', 'K04201092021', 'M04105052021', 'P04905052021', '26072019']
['S01828072019', 'L02908082020', 'D03229102020', 'K04323102021', 'M04202072021', 'P05101092021', '28072019']
['S01902082019', 'L03027092020', 'D03305122020', 'K04403122021', 'M04301092021', 'P05223102021', '02082019']
['S02028082019', 'L03205122020', 'D03414112020', 'K04522102021', 'M04423102021', 'P05303122021', '28082019']
['S02203072019', 'L03314102020', 'D03525112020', 'K04628092021', 'M04619052021', 'P04428082021', '30102019']
['S02330012020', 'L03420012021', 'D03620012021', 'K04713072021', 'M04701122021', 'P04508122021', '30012020']
['S02404032020', 'L03503022021', 'D03703022021', 'K04807092021', 'M04818092021', 'P04607032021', '04032020']
['S02623042020', 'L03603042021', 'D03803042021', 'K04902072021', 'M04917112021', 'P04701032021', '11042020']
['S02730052020', 'L03720042021', 'D03920042021', 'K05017022021', 'M05024072021', 'P04811032021', '23042020']
['S02806072020', 'L03801052021', 'D04001052021', 'K05129052021', 'M05125102021', 'P04912102021', '30052020']
['S02908082020', 'L03905052021', 'D04105052021', 'K05228042021', 'M05206032021', 'P05005062021', '06072020']
['S03027092020', 'L04002072021', 'D04202072021', 'K05320052021', 'M05327122021', 'P05107072021', '08082020']
['S03129102020', 'L04101092021', 'D04423102021', 'K05413092021', 'M05418082021', 'P05228032021', '27092020']
['S03205122020', 'L04223102021', 'D04602022021', 'K05529052021', 'M05514052021', 'P05327112021', '29102020']
['S03325102020', 'L04409062021', 'D04706112021', 'K05610102021', 'M05622022021', 'P05408122021', '05122020']
['S03420012021', 'L04621012022', 'D04812012022', 'K05712012022', 'M05712012022', 'P05512012022', '20012021']
['S03503022021', 'L04707022022', 'D04921012022', 'K05821012022', 'M05821012022', 'P05621012022', '03022021']
['S03603042021', 'L04809052022', 'D05109052022', 'K05907022022', 'M06009052022', 'P05707022022', '03042021']
['S03720042021', 'L04917052022', 'D05217052022', 'K06117052022', 'M06117052022', 'P06024062022', '20042021']
['S03801052021', 'L05024062022', 'D05430082022', 'K06224062022', 'M06224062022', 'P06130082022', '01052021']
['S03905052021', 'L05130082022', 'D05516092022', 'K06330082022', 'M06330082022', 'P06216092022', '05052021']
['S04101092021', 'L05216092022', 'D05628102022', 'K06416092022', 'M06416092022', 'P06328102022', '02072021']
['S04223102021', 'L05328102022', 'D05709112022', 'K06609112022', 'M06609112022', 'P06409112022', '01092021']
['S04303122021', 'L05409112022', 'D05827112022', 'K05723092022', 'M05711032022', 'P05502122022', '23102021']
['S04428112021', 'L05528122022', 'D05913072022', 'K05816122022', 'M05824112022', 'P05614122022', '03122021']
['S04512012022', 'L05608082022', 'D06010092022', 'K05903042022', 'M05927022022', 'P05721092022', '12012022']
['S04621012022', 'L05716062022', 'D06115082022', 'K06028072022', 'M06018072022', 'P05810122022', '21012022']
['S04809052022', 'L05828072022', 'D06215082022', 'K06117052022', 'M06117092022', 'P05906062022', '07022022']
['S04917052022', 'L05905032022', 'D06312072022', 'K06228102022', 'M06228122022', 'P06013102022', '09052022']
['S05024062022', 'L06002012022', 'D06405112022', 'K06304062022', 'M06302092022', 'P06112092022', '17052022']
['S05130082022', 'L06123042022', 'D06514062022', 'K06411042022', 'M06426032022', 'P06219122022', '24062022']
['S05216092022', 'L06222122022', 'D06617032022', 'K06520102022', 'M06506092022', 'P06321022022', '30082022']
['S05328102022', 'L06322102022', 'D06718052022', 'K06617122022', 'M06623082022', 'P06424122022', '16092022']
['S05508042022', 'L06426042022', 'D06822122022', 'K06727052022', 'M06711102022', 'P06501052022', '28102022']
['S05605122022', 'L06503102022', 'D06902122022', 'K06826072022', 'M06820022022', 'P06630042022', '09112022']
['S00102032018', 'L01313012019', 'D01213012019', 'K02309032020', 'M02409032020', 'P03625032020', '02032018']
['S00213042018', 'L01408022019', 'D01426042019', 'K02416032020', 'M02516032020', 'P03727122020', '13042018']
['S00321042018', 'L01526042019', 'D01517052019', 'K02620032020', 'M02619032020', 'P03804072020', '21042018']
['S00426042018', 'L01617052019', 'D01605062019', 'K02723032020', 'M02720032020', 'P03926072020', '26042018']
['S00507082018', 'L01705062019', 'D01720062019', 'K02804052020', 'M03007062020', 'P04025102020', '07082018']
['S00605092018', 'L01820062019', 'D01808072019', 'K03015082020', 'M03115082020', 'P04110072020', '05092018']
['S00730102018', 'L01908072019', 'D01913072019', 'K03123102020', 'M03223102020', 'P04223112020', '30102018']
['S00901122018', 'L02124092019', 'D02024092019', 'K03209112020', 'M03309112020', 'P04309092020', '20112018']
['S01004122018', 'L02231102019', 'D02131102019', 'K03311122020', 'M03422092020', 'P04411042020', '01122018']
['S01108042018', 'L02328112019', 'D02211122019', 'K03412122020', 'M03526122020', 'P04510062020', '04122018']
['S01308022019', 'L02516032020', 'D02309032020', 'K03503032021', 'M03603032021', 'P04603032021', '13012019']
['S01426042019', 'L02619032020', 'D02416032020', 'K03602062021', 'M03702062021', 'P04702062021', '08022019']
['S01517052019', 'L02720032020', 'D02519032020', 'K03704062021', 'M03804062021', 'P04804062021', '26042019']
['S01605062019', 'L02823032020', 'D02620032020', 'K03822062021', 'M03922062021', 'P04922062021', '17052019']
['S01808072019', 'L02904052020', 'D02723032020', 'K03904072021', 'M04120072021', 'P05004072021', '05062019']
['S01913072019', 'L03007062020', 'D02804052020', 'K04206082021', 'M04228072021', 'P05120072021', '20062019']
['S02024092019', 'L03115082020', 'D03015082020', 'K04326102021', 'M04306082021', 'P05228072021', '08072019']
['S02131102019', 'L03223102020', 'D03123102020', 'K04403112021', 'M04426102021', 'P05426102021', '13072019']
['S02223122019', 'L03418122020', 'D03209112020', 'K04511072021', 'M04503112021', 'P05503112021', '24092019']
['S02317092019', 'L03521102020', 'D03327102020', 'K04613122021', 'M04617092021', 'P04602082021', '31102019']
['S02516032020', 'L03603032021', 'D03403032021', 'K04725072021', 'M04708032021', 'P04718082021', '09032020']
['S02619032020', 'L03702062021', 'D03502062021', 'K04811082021', 'M04808112021', 'P04809092021', '16032020']
['S02720032020', 'L03804062021', 'D03604062021', 'K04928122021', 'M04911092021', 'P04922032021', '19032020']
['S02904052020', 'L04004072021', 'D03722062021', 'K05020082021', 'M05024082021', 'P05012122021', '20032020']
['S03007062020', 'L04120072021', 'D03920072021', 'K05102052021', 'M05130102021', 'P05107072021', '23032020']
['S03115082020', 'L04228072021', 'D04106082021', 'K05212112021', 'M05202042021', 'P05202082021', '04052020']
['S03223102020', 'L04306082021', 'D04226102021', 'K05311082021', 'M05302042021', 'P05314082021', '07062020']
['S03309112020', 'L04426102021', 'D04303112021', 'K05422102021', 'M05404062021', 'P05428082021', '15082020']
['S03407112020', 'L04503112021', 'D04415112021', 'K05504112021', 'M05501112021', 'P05503042021', '23102020']
['S03503122020', 'L04619082021', 'D04513092021', 'K05612102021', 'M05621092021', 'P05603052021', '09112020']
['S03603032021', 'L04727012022', 'D04627012022', 'K05727012022', 'M05727012022', 'P05727012022', '03032021']
['S03702062021', 'L05027032022', 'D04711032022', 'K05811032022', 'M05925032022', 'P05811032022', '02062021']
['S03922062021', 'L05121072022', 'D04825032022', 'K05925032022', 'M06027032022', 'P05925032022', '04062021']
['S04004072021', 'L05230082022', 'D04927032022', 'K06027032022', 'M06121072022', 'P06027032022', '22062021']
['S04120072021', 'L05307092022', 'D05130082022', 'K06121072022', 'M06230082022', 'P06121072022', '04072021']
['S04228072021', 'L05426102022', 'D05207092022', 'K06307092022', 'M06307092022', 'P06230082022', '20072021']
['S04306082021', 'L05529102022', 'D05326102022', 'K06426102022', 'M06426102022', 'P06307092022', '28072021']
['S04426102021', 'L05627122022', 'D05429102022', 'K06627122022', 'M06529102022', 'P06426102022', '06082021']
['S04610042021', 'L05730112022', 'D05527122022', 'K05725082022', 'M06627122022', 'P06627122022', '26102021']
['S04710122021', 'L05820122022', 'D05625062022', 'K05824082022', 'M05703122022', 'P05713072022', '03112021']
['S04827012022', 'L05914072022', 'D05717082022', 'K05909082022', 'M05801112022', 'P05830082022', '27012022']
['S04911032022', 'L06003042022', 'D05823012022', 'K06008082022', 'M05910052022', 'P05920082022', '11032022']
['S05025032022', 'L06128042022', 'D05924082022', 'K06120062022', 'M06020122022', 'P06028062022', '25032022']
['S05127032022', 'L06209032022', 'D06014082022', 'K06202072022', 'M06128062022', 'P06120122022', '27032022']
['S05221072022', 'L06317032022', 'D06129102022', 'K06308062022', 'M06204122022', 'P06209032022', '21072022']
['S05330082022', 'L06430112022', 'D06201042022', 'K06428112022', 'M06327052022', 'P06304042022', '30082022']
['S05526102022', 'L06516072022', 'D06313062022', 'K06523012022', 'M06430032022', 'P06420012022', '07092022']
['S05629102022', 'L06601112022', 'D06418082022', 'K06608072022', 'M06522052022', 'P06509082022', '26102022']
['S05727122022', 'L06713022022', 'D06511012022', 'K06721052022', 'M06626052022', 'P06613092022', '29102022']
['S05825102022', 'L06821022022', 'D06624112022', 'K06805112022', 'M06707082022', 'P06726082022', '27122022']
['S00209052018', 'L01311042019', 'D01230012019', 'K02404012020', 'M02504012020', 'P03717022020', '28032018']
['S00315052018', 'L01417042019', 'D01311042019', 'K02524022020', 'M02624022020', 'P03803052020', '09052018']
['S00527062018', 'L01508052019', 'D01508052019', 'K02611032020', 'M02831052020', 'P03903082020', '15052018']
['S00624112018', 'L01715102019', 'D01611052019', 'K02731052020', 'M03009092020', 'P04024022020', '19052018']
['S00724112018', 'L01818112019', 'D01715102019', 'K02807092020', 'M03121092020', 'P04120112020', '27062018']
['S00830112018', 'L01926112019', 'D01818112019', 'K03021092020', 'M03223112020', 'P04231032020', '24112018']
['S00904122018', 'L02022122019', 'D01926112019', 'K03123112020', 'M03307122020', 'P04322022020', '24112018']
['S01005122018', 'L02128122019', 'D02022122019', 'K03207122020', 'M03424122020', 'P04420012020', '30112018']
['S01124102018', 'L02215102019', 'D02128122019', 'K03324122020', 'M03510112020', 'P04520012020', '04122018']
['S01228122018', 'L02324122019', 'D02217112019', 'K03407062020', 'M03626082020', 'P04619012020', '05122018']
['S01411042019', 'L02404012020', 'D02304012020', 'K03517012021', 'M03717012021', 'P04717012021', '30012019']
['S01517042019', 'L02524022020', 'D02424022020', 'K03624032021', 'M03824032021', 'P04824032021', '11042019']
['S01608052019', 'L02611032020', 'D02511032020', 'K03717042021', 'M03917042021', 'P04917042021', '17042019']
['S01711052019', 'L02731052020', 'D02631052020', 'K03816052021', 'M04016052021', 'P05016052021', '08052019']
['S01815102019', 'L02909092020', 'D02707092020', 'K03901072021', 'M04101072021', 'P05101072021', '11052019']
['S01918112019', 'L03021092020', 'D02809092020', 'K04014072021', 'M04314072021', 'P05214072021', '15102019']
['S02026112019', 'L03123112020', 'D02921092020', 'K04114072021', 'M04420082021', 'P05314072021', '18112019']
['S02122122019', 'L03207122020', 'D03107122020', 'K04309092021', 'M04629092021', 'P05420082021', '26112019']
['S02228122019', 'L03324122020', 'D03301022020', 'K04523102021', 'M04722102021', 'P05629092021', '22122019']
['S02330122019', 'L03409062020', 'D03426022020', 'K04613042021', 'M04811122021', 'P04716052021', '28122019']
['S02404012020', 'L03517012021', 'D03517012021', 'K04709112021', 'M04920092021', 'P04825122021', '04012020']
['S02611032020', 'L03624032021', 'D03624032021', 'K04818112021', 'M05011052021', 'P04915102021', '24022020']
['S02731052020', 'L03901072021', 'D03717042021', 'K04920042021', 'M05102052021', 'P05014052021', '11032020']
['S02807092020', 'L04014072021', 'D03816052021', 'K05004072021', 'M05219052021', 'P05113092021', '31052020']
['S02909092020', 'L04114072021', 'D04014072021', 'K05103082021', 'M05331012021', 'P05226042021', '07092020']
['S03021092020', 'L04220082021', 'D04114072021', 'K05228012021', 'M05411102021', 'P05304092021', '09092020']
['S03123112020', 'L04309092021', 'D04220082021', 'K05315062021', 'M05506062021', 'P05424062021', '21092020']
['S03324122020', 'L04429092021', 'D04309092021', 'K05409032021', 'M05615082021', 'P05503102021', '23112020']
['S03420112020', 'L04510102021', 'D04429092021', 'K05504052021', 'M05712072021', 'P05615012021', '07122020']
['S03529102020', 'L04611122021', 'D04529072021', 'K05631052021', 'M05827012021', 'P05722102021', '24122020']
['S03617012021', 'L04818042022', 'D04616022022', 'K05716022022', 'M06018042022', 'P05816022022', '17012021']
['S03817042021', 'L04911052022', 'D04718042022', 'K05818042022', 'M06111052022', 'P05918042022', '24032021']
['S03916052021', 'L05011062022', 'D04811052022', 'K05911052022', 'M06211062022', 'P06011052022', '17042021']
['S04001072021', 'L05116062022', 'D04911062022', 'K06011062022', 'M06316062022', 'P06111062022', '16052021']
['S04114072021', 'L05216082022', 'D05217082022', 'K06116062022', 'M06416082022', 'P06216062022', '01072021']
['S04320082021', 'L05317082022', 'D05303112022', 'K06216082022', 'M06517082022', 'P06417082022', '14072021']
['S04409092021', 'L05403112022', 'D05403122022', 'K06317082022', 'M06703122022', 'P06503112022', '14072021']
['S04529092021', 'L05620122022', 'D05520122022', 'K06503122022', 'M06820122022', 'P06603122022', '20082021']
['S04604112021', 'L05722042022', 'D05608122022', 'K06620122022', 'M05913112022', 'P06720122022', '09092021']
['S04702102021', 'L05814112022', 'D05709112022', 'K05724122022', 'M06012122022', 'P05816112022', '29092021']
['S04918042022', 'L05921062022', 'D05823072022', 'K05831102022', 'M06101022022', 'P05916082022', '16022022']
['S05011052022', 'L06018042022', 'D05926032022', 'K05923122022', 'M06230032022', 'P06012092022', '18042022']
['S05111062022', 'L06123112022', 'D06012122022', 'K06010122022', 'M06305052022', 'P06117052022', '11052022']
['S05216062022', 'L06212112022', 'D06126112022', 'K06112122022', 'M06403022022', 'P06205062022', '11062022']
['S05417082022', 'L06317022022', 'D06203122022', 'K06224102022', 'M06513042022', 'P06315022022', '16062022']
['S05503112022', 'L06429112022', 'D06330012022', 'K06308022022', 'M06602122022', 'P06410122022', '16082022']
['S05603122022', 'L06514112022', 'D06413032022', 'K06424032022', 'M06709082022', 'P06501052022', '17082022']
['S05720122022', 'L06601012022', 'D06507082022', 'K06502112022', 'M06810032022', 'P06619112022', '03112022']
['S05826112022', 'L06720052022', 'D06605082022', 'K06620102022', 'M06923112022', 'P06704022022', '03122022']
['S05923102022', 'L06813072022', 'D06719092022', 'K06705122022', 'M07024032022', 'P06823072022', '20122022']
['S00113012018', 'L01301022019', 'D01301022019', 'K02310022020', 'M02310022020', 'P03708082020', '13012018']
['S00301042018', 'L01507052019', 'D01428022019', 'K02519032020', 'M02424022020', 'P03809042020', '06032018']
['S00407042018', 'L01626052019', 'D01507052019', 'K02604042020', 'M02519032020', 'P03913052020', '01042018']
['S00526042018', 'L01704062019', 'D01626052019', 'K02712052020', 'M02604042020', 'P04010042020', '07042018']
['S00609052018', 'L01914092019', 'D01704062019', 'K02817062020', 'M02712052020', 'P04118062020', '26042018']
['S00718062018', 'L02030092019', 'D01818082019', 'K02931072020', 'M02817062020', 'P04214042020', '09052018']
['S00820062018', 'L02109122019', 'D01914092019', 'K03014082020', 'M03014082020', 'P04306012020', '18062018']
['S00922102018', 'L02225122019', 'D02030092019', 'K03216102020', 'M03102102020', 'P04427092020', '20062018']
['S01009112018', 'L02323082019', 'D02109122019', 'K03301062020', 'M03315082020', 'P04501042020', '22102018']
['S01108122018', 'L02403122019', 'D02302122019', 'K03406112020', 'M03427072020', 'P04623112020', '09112018']
['S01201022019', 'L02510022020', 'D02524022020', 'K03507042021', 'M03507042021', 'P04707042021', '01022019']
['S01407052019', 'L02624022020', 'D02619032020', 'K03622042021', 'M03622042021', 'P04822042021', '28022019']
['S01526052019', 'L02719032020', 'D02704042020', 'K03711052021', 'M03711052021', 'P04911052021', '07052019']
['S01604062019', 'L02804042020', 'D02812052020', 'K03825062021', 'M03825062021', 'P05025062021', '26052019']
['S01718082019', 'L02912052020', 'D02917062020', 'K03930072021', 'M03930072021', 'P05130072021', '04062019']
['S01814092019', 'L03017062020', 'D03031072020', 'K04015092021', 'M04015092021', 'P05215092021', '18082019']
['S01930092019', 'L03131072020', 'D03114082020', 'K04123092021', 'M04123092021', 'P05323092021', '14092019']
['S02009122019', 'L03302102020', 'D03316102020', 'K04302112021', 'M04217102021', 'P05502112021', '30092019']
['S02125122019', 'L03416102020', 'D03425062020', 'K04512102021', 'M04504102021', 'P05603112021', '09122019']
['S02227112019', 'L03501062020', 'D03513122020', 'K04607052021', 'M04625092021', 'P04722122021', '25122019']
['S02310022020', 'L03722042021', 'D03722042021', 'K04713042021', 'M04714012021', 'P04801032021', '10022020']
['S02424022020', 'L03811052021', 'D03811052021', 'K04811122021', 'M04826122021', 'P04909102021', '24022020']
['S02519032020', 'L03925062021', 'D03925062021', 'K04921092021', 'M04917022021', 'P05004012021', '19032020']
['S02712052020', 'L04030072021', 'D04030072021', 'K05018012021', 'M05028082021', 'P05118022021', '04042020']
['S02817062020', 'L04115092021', 'D04115092021', 'K05118052021', 'M05115042021', 'P05220032021', '12052020']
['S02931072020', 'L04223092021', 'D04223092021', 'K05230042021', 'M05213042021', 'P05317032021', '17062020']
['S03014082020', 'L04402112021', 'D04317102021', 'K05314052021', 'M05304062021', 'P05430072021', '31072020']
['S03102102020', 'L04503112021', 'D04402112021', 'K05427012021', 'M05425122021', 'P05506062021', '14082020']
['S03216102020', 'L04604112021', 'D04630092021', 'K05508032021', 'M05515102021', 'P05602052021', '02102020']
['S03315122020', 'L04716112021', 'D04702042021', 'K05619072021', 'M05621052021', 'P05729012021', '16102020']
['S03407042021', 'L04818022022', 'D04818022022', 'K05718022022', 'M05801042022', 'P05818022022', '07042021']
['S03522042021', 'L04901042022', 'D04901042022', 'K05801042022', 'M05901042022', 'P05901042022', '22042021']
['S03611052021', 'L05001042022', 'D05001042022', 'K05901042022', 'M06025082022', 'P06001042022', '11052021']
['S03830072021', 'L05125082022', 'D05125082022', 'K06025082022', 'M06108092022', 'P06125082022', '25062021']
['S03915092021', 'L05208092022', 'D05208092022', 'K06108092022', 'M06213092022', 'P06208092022', '30072021']
['S04023092021', 'L05313092022', 'D05313092022', 'K06213092022', 'M06305102022', 'P06405102022', '15092021']
['S04202112021', 'L05609112022', 'D05405102022', 'K06305102022', 'M06509112022', 'P06510102022', '23092021']
['S04303112021', 'L05726112022', 'D05510102022', 'K06410102022', 'M06626112022', 'P06726112022', '17102021']
['S04411082021', 'L05819122022', 'D05804072022', 'K06626112022', 'M05726102022', 'P05818062022', '02112021']
['S04509092021', 'L05915102022', 'D05912032022', 'K05714112022', 'M05817122022', 'P05916122022', '03112021']
['S04618022022', 'L06017122022', 'D06028012022', 'K05817022022', 'M05913042022', 'P06022082022', '18022022']
['S04701042022', 'L06113112022', 'D06121062022', 'K05929042022', 'M06018092022', 'P06104012022', '01042022']
['S04801042022', 'L06218022022', 'D06225022022', 'K06019012022', 'M06114102022', 'P06216012022', '01042022']
['S04925082022', 'L06327112022', 'D06325082022', 'K06120052022', 'M06215012022', 'P06317032022', '25082022']
['S05008092022', 'L06418112022', 'D06410042022', 'K06201122022', 'M06301082022', 'P06417082022', '08092022']
['S05205102022', 'L06508052022', 'D06516082022', 'K06320042022', 'M06414122022', 'P06515052022', '13092022']
['S05310102022', 'L06602092022', 'D06622052022', 'K06418122022', 'M06518122022', 'P06618102022', '05102022']
['S05409112022', 'L06722102022', 'D06729112022', 'K06512102022', 'M06609092022', 'P06717072022', '10102022']
['S05526112022', 'L06830102022', 'D06807062022', 'K06622112022', 'M06712082022', 'P06815012022', '09112022']
['S05628052022', 'L06909042022', 'D06918012022', 'K06706012022', 'M06806072022', 'P06902032022', '26112022']
['S00115012018', 'L01304032019', 'D01204032019', 'K02404022020', 'M02304022020', 'P03613112020', '15012018']
['S00221012018', 'L01416062019', 'D01316062019', 'K02526052020', 'M02426052020', 'P03725092020', '21012018']
['S00302022018', 'L01525072019', 'D01529072019', 'K02604062020', 'M02504062020', 'P03824052020', '02022018']
['S00422022018', 'L01629072019', 'D01609082019', 'K02811072020', 'M02621062020', 'P03922112020', '22022018']
['S00508032018', 'L01709082019', 'D01709082019', 'K02902102020', 'M02711072020', 'P04014122020', '08032018']
['S00625062018', 'L01809082019', 'D01815082019', 'K03020102020', 'M02802102020', 'P04101082020', '25062018']
['S00813072018', 'L02023082019', 'D01923082019', 'K03126102020', 'M02920102020', 'P04222082020', '05072018']
['S00908092018', 'L02223122019', 'D02123122019', 'K03228102020', 'M03128102020', 'P04330032020', '13072018']
['S01107072018', 'L02312062019', 'D02223062019', 'K03323122020', 'M03223122020', 'P04406122020', '08092018']
['S01219072018', 'L02401102019', 'D02329062019', 'K03405122020', 'M03324062020', 'P04526102020', '20122018']
['S01304032019', 'L02504022020', 'D02404022020', 'K03508012021', 'M03408012021', 'P04608012021', '04032019']
['S01416062019', 'L02704062020', 'D02604062020', 'K03623012021', 'M03624032021', 'P04723012021', '16062019']
['S01525072019', 'L02821062020', 'D02721062020', 'K03809042021', 'M03709042021', 'P04824032021', '25072019']
['S01629072019', 'L03002102020', 'D02811072020', 'K03922042021', 'M03822042021', 'P04909042021', '29072019']
['S01709082019', 'L03120102020', 'D02902102020', 'K04011052021', 'M03911052021', 'P05022042021', '09082019']
['S01809082019', 'L03226102020', 'D03020102020', 'K04129062021', 'M04029062021', 'P05229062021', '09082019']
['S01915082019', 'L03328102020', 'D03126102020', 'K04208072021', 'M04108072021', 'P05308072021', '15082019']
['S02023082019', 'L03423122020', 'D03228102020', 'K04326092021', 'M04226092021', 'P05426092021', '23082019']
['S02223122019', 'L03520082020', 'D03323122020', 'K04411112021', 'M04311112021', 'P05511112021', '05112019']
['S02326022019', 'L03626112020', 'D03420082020', 'K04515112021', 'M04423122021', 'P04621102021', '23122019']
['S02404022020', 'L03823012021', 'D03508012021', 'K04623032021', 'M04515092021', 'P04707052021', '04022020']
['S02526052020', 'L03924032021', 'D03724032021', 'K04712102021', 'M04608112021', 'P04815052021', '26052020']
['S02604062020', 'L04009042021', 'D03809042021', 'K04806032021', 'M04726012021', 'P04925092021', '04062020']
['S02721062020', 'L04122042021', 'D03922042021', 'K04904122021', 'M04814022021', 'P05012042021', '21062020']
['S02811072020', 'L04211052021', 'D04011052021', 'K05001022021', 'M04918062021', 'P05124062021', '11072020']
['S02902102020', 'L04408072021', 'D04129062021', 'K05103122021', 'M05024042021', 'P05227012021', '02102020']
['S03020102020', 'L04526092021', 'D04208072021', 'K05222082021', 'M05110112021', 'P05307082021', '20102020']
['S03126102020', 'L04611112021', 'D04326092021', 'K05319112021', 'M05212042021', 'P05414052021', '26102020']
['S03228102020', 'L04728122021', 'D04411112021', 'K05417112021', 'M05310062021', 'P05519062021', '28102020']
['S03430112020', 'L04818112021', 'D04516122021', 'K05506072021', 'M05406112021', 'P05618092021', '23122020']
['S03508012021', 'L04910012022', 'D04610012022', 'K05610012022', 'M05510012022', 'P05710012022', '08012021']
['S03623012021', 'L05005022022', 'D04705022022', 'K05705022022', 'M05713022022', 'P05805022022', '23012021']
['S03724032021', 'L05113022022', 'D04813022022', 'K05813022022', 'M05813032022', 'P06013032022', '24032021']
['S03809042021', 'L05309062022', 'D05009062022', 'K05913032022', 'M05909062022', 'P06109062022', '09042021']
['S04011052021', 'L05409092022', 'D05224102022', 'K06009062022', 'M06009092022', 'P06209092022', '22042021']
['S04129062021', 'L05524102022', 'D05308122022', 'K06109092022', 'M06124102022', 'P06324102022', '11052021']
['S04208072021', 'L05715122022', 'D05415122022', 'K06224102022', 'M06208122022', 'P06408122022', '29062021']
['S04326092021', 'L05816122022', 'D05516122022', 'K06308122022', 'M06315122022', 'P06515122022', '08072021']
['S04411112021', 'L05912062022', 'D05606062022', 'K06516122022', 'M06416122022', 'P06616122022', '26092021']
['S04508112021', 'L06028112022', 'D05725122022', 'K05609112022', 'M05526112022', 'P05703122022', '11112021']
['S04610012022', 'L06121112022', 'D05831102022', 'K05729012022', 'M05617112022', 'P05820062022', '10012022']
['S04705022022', 'L06214072022', 'D05918122022', 'K05830012022', 'M05714072022', 'P05909072022', '05022022']
['S04813022022', 'L06308052022', 'D06001062022', 'K05912012022', 'M05812082022', 'P06019032022', '13022022']
['S04913032022', 'L06414032022', 'D06103082022', 'K06019062022', 'M05915112022', 'P06112052022', '13032022']
['S05109092022', 'L06502022022', 'D06214012022', 'K06117062022', 'M06029082022', 'P06223082022', '09062022']
['S05224102022', 'L06618032022', 'D06318062022', 'K06228112022', 'M06114092022', 'P06311022022', '09092022']
['S05415122022', 'L06730042022', 'D06418052022', 'K06326102022', 'M06204072022', 'P06427022022', '24102022']
['S05516122022', 'L06824122022', 'D06503032022', 'K06425052022', 'M06328072022', 'P06522062022', '08122022']
['S05601092022', 'L06912102022', 'D06620022022', 'K06519102022', 'M06421042022', 'P06628082022', '15122022']
['S05717122022', 'L07031082022', 'D06705062022', 'K06628072022', 'M06516082022', 'P06704122022', '16122022']
['S00123042018', 'L01227022019', 'D01227022019', 'K02303042020', 'M02530052020', 'P03505012020', '23042018']
['S00307052018', 'L01313032019', 'D01313032019', 'K02430052020', 'M02617092020', 'P03602082020', '24042018']
['S00412052018', 'L01428032019', 'D01428032019', 'K02517092020', 'M02706102020', 'P03728012020', '07052018']
['S00516072018', 'L01506042019', 'D01506042019', 'K02714102020', 'M02814102020', 'P03812012020', '12052018']
['S00622072018', 'L01612042019', 'D01612042019', 'K02804122020', 'M02904122020', 'P03910092020', '16072018']
['S00728082018', 'L01715042019', 'D01715042019', 'K02906122020', 'M03006122020', 'P04028032020', '22072018']
['S00812102018', 'L01807062019', 'D01807062019', 'K03006122020', 'M03106122020', 'P04117032020', '28082018']
['S00920102018', 'L01915062019', 'D01915062019', 'K03107122020', 'M03207122020', 'P04227052020', '12102018']
['S01106012018', 'L02002092019', 'D02205112019', 'K03224122020', 'M03324122020', 'P04325092020', '20102018']
['S01220092018', 'L02212052019', 'D02317072019', 'K03309062020', 'M03414122020', 'P04401112020', '26122018']
['S01327022019', 'L02303042020', 'D02403042020', 'K03504022021', 'M03502012021', 'P04502012021', '27022019']
['S01413032019', 'L02430052020', 'D02530052020', 'K03610042021', 'M03819042021', 'P04604022021', '13032019']
['S01528032019', 'L02517092020', 'D02706102020', 'K03719042021', 'M03929042021', 'P04710042021', '28032019']
['S01606042019', 'L02606102020', 'D02814102020', 'K03829042021', 'M04018052021', 'P04929042021', '06042019']
['S01712042019', 'L02804122020', 'D02904122020', 'K03918052021', 'M04103072021', 'P05018052021', '12042019']
['S01815042019', 'L02906122020', 'D03006122020', 'K04003072021', 'M04213092021', 'P05103072021', '15042019']
['S01907062019', 'L03107122020', 'D03106122020', 'K04113092021', 'M04316112021', 'P05213092021', '07062019']
['S02015062019', 'L03224122020', 'D03207122020', 'K04216112021', 'M04419112021', 'P05316112021', '15062019']
['S02102092019', 'L03310052020', 'D03403052020', 'K04319112021', 'M04522092021', 'P05419112021', '02092019']
['S02305072019', 'L03404032020', 'D03524102020', 'K04429122021', 'M04618122021', 'P04503122021', '06112019']
['S02403042020', 'L03502012021', 'D03704022021', 'K04515042021', 'M04715102021', 'P04625032021', '03042020']
['S02530052020', 'L03604022021', 'D03810042021', 'K04623052021', 'M04808032021', 'P04716052021', '30052020']
['S02706102020', 'L03710042021', 'D03919042021', 'K04706062021', 'M04907102021', 'P04818092021', '17092020']
['S02814102020', 'L03819042021', 'D04029042021', 'K04821072021', 'M05025012021', 'P04915092021', '06102020']
['S03006122020', 'L03929042021', 'D04118052021', 'K04905082021', 'M05110082021', 'P05018112021', '14102020']
['S03106122020', 'L04103072021', 'D04203072021', 'K05006122021', 'M05204072021', 'P05114052021', '04122020']
